,Claimant(s)/Nationality(ies): i,Date Registered:,Economic Sector:,Instrument(s) Invoked: i,Latest Development:,Outcome of Proceeding:,Respondent(s):,Status of Proceeding:,Subject of Dispute:
0,"Bay View Group LLC (U.S.), The Spalena Company LLC (U.S.)",22-Jun-18,"Oil, Gas & Mining",BIT Rwanda - United States of America 2008,"June 22, 2018 - The Acting Secretary-General registers a request for the institution of arbitration proceedings. ",,Republic of Rwanda (Rwandese),Pending,Mining concessions
1,Veolia Propreté SAS (French),20-Jun-18,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 20, 2018 - The Secretary-General registers a request for the institution of arbitration proceedings.",,Italian Republic (Italian),Pending,Renewable energy generation enterprise
2,"LSG Building Solutions GmbH (Austrian), Pressburg UK GmbH (German), Green Source Consulting GmbH (Austrian), Solluce Romania 1 B.V. (Dutch), Risen Energy Solar Project GmbH (German), Core Value Investments GmbH & Co KG Gamma (German), Core Value Capital GmbH (Austrian), SC LJG Green Source Energy Beta SRL (Romanian), Anina Pro Invest Ltd (Cypriot), Giust Ltd (Cypriot)",12-Jun-18,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 12, 2018 - The Secretary-General registers a request for the institution of arbitration proceedings. ",,Romania (Romanian),Pending,Renewable energy generation enterprise
3,Ipek Investment Limited (British),29-May-18,"Oil, Gas & Mining",BIT Turkey - United Kingdom of Great Britain and Northern Ireland 1991,"May 29, 2018 - The Secretary-General registers a request for the institution of arbitration proceedings.",,Republic of Turkey (Turkish),Pending,"Mining enterprise, Telecommunications enterprise"
4,Autopista del Norte S.A.C. (Peruvian),18-May-18,Transportation,Contract,"June 8, 2018 - Following appointment by the Claimant, Antonio Crivellaro (Italian) accepts his appointment as arbitrator.",,Republic of Peru (Peruvian),Pending,Contract for the construction of a highway system
5,Togo Terminal (Togolese),14-May-18,Construction,Contract,"May 14, 2018 - The Secretary-General registers a request for the institution of arbitration proceedings.",,Republic of Togo (Togolese),Pending,Container handling operations
6,NEPC Consortium Power Limited (Bangladeshi),14-May-18,Electric Power & Other Energy,Contract,"May 14, 2018 - The Secretary-General registers a request for the institution of arbitration proceedings. ",,Bangladesh Power Development Board (Bangladeshi),Pending,Electric power generation project
7,HOCHTIEF Infrastructure GmbH (German),03-May-18,Construction,BIT Saudi Arabia - Germany 1996,"May 3, 2018 - The Secretary-General registers a request for the institution of arbitration proceedings.",,Kingdom of Saudi Arabia (Saudi Arabian),Pending,"Construction, development and expansion of airport terminal"
8,Galway Gold Inc. (Canadian),18-Apr-18,"Oil, Gas & Mining",FTA Canada - Colombia,"May 8, 2018 - Following appointment by the Claimant, Alfredo Bullard (Peruvian) accepts his appoint as arbitrator.",,Republic of Colombia (Colombian),Pending,Mining concession
9,Red Eagle Exploration Limited (Canadian),18-Apr-18,"Oil, Gas & Mining",FTA Canada - Colombia,"May 4, 2018 - Following appointment by the Claimants, José Martínez de Hoz (Argentine) accepts his appointment as arbitrator.",,Republic of Colombia (Colombian),Pending,Mining concession
10,"Kimberly-Clark Dutch Holdings, B.V. (Dutch), Kimberly-Clark S.L.U. (Spanish), Kimberly-Clark BVBA (Belgian)",17-Apr-18,Services & Trade,"BIT Spain - Venezuela, Republica Bolivariana de 1995, BIT Netherlands - Venezuela, Republica Bolivariana de 1991, BIT Venezuela, Republica Bolivariana de - Belgium-Luxembourg 1998","April 17, 2018 - The Acting Secretary-General registers a request for the institution of arbitration proceedings.",,Bolivarian Republic of Venezuela (Venezuelan),Pending,Retail
11,"Société des Parcs d’Alger (Algerian), Emirates International Investment Company LLC (United Arab Emirates)",05-Apr-18,Construction,Contract,"April 5, 2018 - The Acting Secretary-General registers a request for the institution of arbitration proceedings. ",,People’s Democratic Republic of Algeria (Algerian),Pending,Real Estate Project
12,Soci_t_ d�fEnergie et d�fEau du Gabon (Gabonese),30-Mar-18,Electric Power & Other Energy,Contract,"June 20, 2018 - The Commission holds a first session in Paris.",,Gabonese Republic (Gabonese),Pending,Water services and electric power concession
13,"Western African Aquaculture Ltd (Gambian), Kurt Lennart Hansson (Swedish), Martje Bolt Hansson (Australian)",28-Mar-18,"Agriculture, Fishing & Forestry",,"March 28, 2018 - The Secretary-General registers a request for the institution of arbitration proceedings. ",,Republic of The Gambia (Gambian),Pending,Farming enterprise
14,Delta Belarus Holding BV (Dutch),22-Mar-18,Finance,BIT Belarus - Netherlands 1995,"March 22, 2018 - The Secretary-General registers a request for the institution of arbitration proceedings. ",,Republic of Belarus (Belarussian),Pending,Banking enterprise
15,"Rand Investments Ltd. (Canadian), Sembi Investment Limited (Cypriot), William Archibald Rand (Canadian), Kathleen Elizabeth Rand (Canadian), Allison Ruth Rand (Canadian), Robert Harry Leander Rand (Canadian)",22-Mar-18,"Agriculture, Fishing & Forestry","BIT Canada - Serbia 2014, BIT Serbia - Cyprus 2005","May 17, 2018 - Following appointment by the Respondent, Marcelo Kohen (Argentine) accepts his appointment as arbitrator.",,Republic of Serbia (Serbian),Pending,Agricultural enterprise
16,Mr. Shin Dong Baig (Korean),19-Mar-18,Other Industry,"BIT Korea, Republic of - Vietnam 1993","June 11, 2018 - Following appointment by the Respondent, Albert Jan van den Berg (Dutch) accepts his appointment as arbitrator.",,Socialist Republic of Vietnam (Vietnamese),Pending,Real estate project
17,Corral Morocco Holdings AB (Swedish),14-Mar-18,"Oil, Gas & Mining",BIT Morocco - Sweden 1990,"March 14, 2018 - The Acting Secretary-General registers a request for the institution of arbitration proceedings.",,Kingdom of Morocco (Moroccan),Pending,Operation and development of an oil refinery
18,Mr. Cem Selçuk Ersoy (Turkish),14-Mar-18,Construction,BIT Turkey - Azerbaijan 1994,"June 21, 2018 - Following appointment by the Respondent, Jean Engelmayer Kalicki (U.S.) accepts her appointment as arbitrator.",,Republic of Azerbaijan (Azerbaijani),Pending,Tunnel construction project
19,Astrida Benita Carrizosa (U.S.),09-Mar-18,Finance,"BIT Colombia - India 2009, BIT Colombia - Switzerland 2006 - TPA United States �_Colombia 2006","March 9, 2018 - The Secretary-General registers a request for the institution of arbitration proceedings.",,Republic of Colombia (Colombian),Pending,Bank
20,Cascade Investments NV (Belgian),28-Feb-18,Services & Trade,BIT Belgium-Luxembourg - Turkey 1986,"June 4, 2018 - Following appointment by the Respondent, Jan Paulsson (French/Swedish) accepts his appointment as arbitrator.",,Republic of Turkey (Turkish),Pending,Media services
21,"Telefónica, S.A. (Spanish)",20-Feb-18,Information & Communication,BIT Colombia - Spain 2005,"April 26, 2018 - Following appointment by the Respondent, Yves Derains (French) accepts his appointment as arbitrator.",,Republic of Colombia (Colombian),Pending,Telecommunications services
22,Almasryia for Operating & Maintaining Touristic Construction Co. L.L.C. (Egyptian),14-Feb-18,Tourism,"BIT Egypt, Arab Republic of - Kuwait 2001","May 28, 2018 - Following appointment by the Respondent, Rolf Knieper (German) accepts his appointment as arbitrator.",,State of Kuwait (Kuwaiti),Pending,Real estate project
23,ACF Renewable Energy Limited (Maltese),14-Feb-18,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 1, 2018 - The Tribunal is constituted in accordance with Article 37(2)(b) of the ICSID Convention. Its members are: Bruno Simma (Austrian/German), President, appointed by the agreement of the parties; Oscar Garibaldi (Argentine/U.S.), appointed by the Claimant; and Pierre Mayer (French), appointed by the Respondent.",,Republic of Bulgaria (Bulgarian),Pending,Renewable energy generation enterprise
24,GRAND EXPRESS Non-Public Joint Stock Company (Russian),31-Jan-18,Other Industry,"Agreement for Encouragement and Mutual Protection of Investments in the Member States of the Eurasian Economic Community (2008) , Treaty on the Eurasian Economic Union (2014)","May 4, 2018 - Following appointment by the Respondent, J. Christopher Thomas (Canadian) accepts his appointment as arbitrator.",,Republic of Belarus (Belarussian),Pending,Railcar manufacturing plant
25,"Erste Group Bank AG (Austrian), Steiermärkische Bank und Sparkassen AG (Austrian), Erste & Steiermärkische Bank d.d. (Croatian)",29-Dec-17,Finance,BIT Croatia - Austria 1997,"June 22, 2018 - The Tribunal is constituted in accordance with Article 37(2)(a) of the ICSID Convention. Its members are: Andrés Rigo Sureda (Spanish), President, appointed by the Chairman of the Administrative Council in accordance with Article 38 of the ICSID Convention; Andreas Bucher (Swiss), appointed by the Claimants; and Lazar Tomov (Bulgarian), appointed by the Respondent.",,Republic of Croatia (Croatian),Pending,Banking services and debt instruments
26,"Wise Solutions CDI, SA (Ivorian)",29-Dec-17,"Water, Sanitation & Flood Protection",Contract,"June 6, 2018 - The Tribunal is constituted in accordance with Article 37(2)(b) of the ICSID Convention. Its members are: Raëd Fathallah (Canadian/Lebanese), President, appointed by the agreement of the parties; Bernard Hanotiau (Belgian), appointed by the Claimant; and Brigitte Stern (French), appointed by the Respondent.",,Republic of Côte d'Ivoire (Ivorian),Pending,Waste management project
27,"AS Norvik Banka (Latvian), Grigory Guselnikov (British), Yulia Guselnikova (British), Alexander Guselnikov (British), Aglaya Guselnikova (British), Pyotr Guselnikov (British)",28-Dec-17,Finance,BIT Latvia - United Kingdom of Great Britain and Northern Ireland 1994,"April 3, 2018 - Following appointment by the Respondent, Peter Tomka (Slovak) accepts his appointment as arbitrator.",,Republic of Latvia (Latvian),Pending,Banking enterprise
28,Cunico Resources N.V. (Dutch),21-Dec-17,Other Industry,"BIT Netherlands - Macedonia, Former Yugoslav Republic of 1998","June 4, 2018 - The Tribunal issues Procedural Order No. 1 concerning procedural matters.",,"Macedonia, former Yugoslav Republic of (Macedonian)",Pending,Metal industry plant
29,Mazen Al Ramahi (Jordanian),21-Dec-17,Tourism,BIT Jordan - Hungary 2007,"June 6, 2018 - The Tribunal is constituted in accordance with Article 37(2)(a) of the ICSID Convention. Its members are: Ian Binnie (Canadian), President, appointed by the agreement of the parties; Hamid Gharavi (French/Iranian), appointed by the Claimant; and Brigitte Stern (French), appointed by the Respondent.",,Hungary (Hungarian),Pending,Hotel operation project
