,Claimant(s)/Nationality(ies): i,Date Registered:,Economic Sector:,Instrument(s) Invoked: i,Latest Development:,Outcome of Proceeding:,Respondent(s):,Status of Proceeding:,Subject of Dispute:
0,Asset Recovery Trust S.A. (Argentine),"June 23, 2005",Finance,BIT United States of America - Argentina 1991,,"November 27, 2012 - The Tribunal issues a procedural order for the discontinuance of the proceeding for lack of payment of the required advances, pursuant to ICSID Administrative and Financial Regulation 14(3)(d).",Argentine Republic (Argentine),Concluded,Collection contract
1,"Empresa Eléctrica del Ecuador, Inc. (EMELEC) (U.S.)","May 26, 2005",Electric Power & Other Energy,BIT Ecuador - United States of America 1993,,"June 2, 2009 - The Tribunal renders its award.",Republic of Ecuador (Ecuadoran),Concluded,Electricity enterprise
2,Saipem S.p.A. (Italian),"April 25, 2005","Oil, Gas & Mining",BIT Bangladesh - Italy 1990,,"June 30, 2009 - The Tribunal renders its award.",People's Republic of Bangladesh (Bangladeshi),Concluded,Gas pipeline project
3,"Bernardus Henricus Funnekotter (Dutch), Carel Frederik des Tombe (Dutch), Dicky Roelanda Breytenbach (Dutch), Erica Hansen (Dutch), Hermannes van Duren (Junior) (Dutch), Johan Pieter Weller (Dutch), Lion Hellmut Benjamins (Dutch), Loekie Weller (Dutch), Margareta van Duren (Dutch), Max Willem Arthur Graaf van Rechteren Limpurg (Dutch), Rolf Jan Philip Walraven (Dutch), Romelia Gwendolyn Fisher (Dutch), Wessel Johannes Weller (Dutch)","April 15, 2005","Agriculture, Fishing & Forestry",BIT Netherlands - Zimbabwe 1996,,"April 22, 2009 - The Tribunal renders its award.",Republic of Zimbabwe (Zimbabwean),Concluded,Commercial farms
4,TSA Spectrum de Argentina S.A. (Argentine),"April 8, 2005",Information & Communication,BIT Netherlands - Argentina 1992,,"December 19, 2008 - The Tribunal renders its award; attached to the award is a dissenting opinion by one arbitrator, and a concurring opinion by another arbitrator.",Argentine Republic (Argentine),Concluded,Telecommunications concession
5,I & I Beheer B.V. (Dutch),"April 6, 2005",Finance,"BIT Netherlands - Venezuela, Republica Bolivariana de 1991 - Investment Law - Venezuela (1999)",,"December 28, 2007 - The Tribunal issues an order taking note of the discontinuance of the proceeding in accordance with Article 44 of the ICSID Convention.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Debt instruments
6,"Astaldi, S.p.A. (Italian), LESI, S.p.A. (Italian)","March 18, 2005","Water, Sanitation & Flood Protection",BIT Algeria - Italy 1991,,"November 12, 2008 - The Tribunal renders its award.",People's Democratic Republic of Algeria (Algerian),Concluded,Construction of a dam
7,"CGE Argentina S.A. (Chilean), Compañía General de Electricidad S.A. (Chilean)","February 4, 2005",Other Industry,BIT Chile - Argentina 1991,,"July 28, 2009 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Argentine Republic (Argentine),Concluded,Electricity distribution concessions
8,"Daimler Financial Services AG (German), DaimlerChrysler Services AG (German)","January 14, 2005",Finance,BIT Germany - Argentina 1991,,"August 22, 2012 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Charles N. Brower and a separate opinion by arbitrator Domingo Bello Janeiro.",Argentine Republic (Argentine),Concluded,Leasing and financial services
9,Vannessa Ventures Ltd. (Canadian),"October 28, 2004","Oil, Gas & Mining","BIT Canada - Venezuela, Republica Bolivariana de 1996",,"January 16, 2013 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Gold and copper mining project
10,"Duke Energy Electroquil Partners (U.S.), Electroquil S.A. (Ecuadoran)","October 7, 2004",Electric Power & Other Energy,BIT Ecuador - United States of America 1993 - Contract,,"August 18, 2008 - The Tribunal renders its award.",Republic of Ecuador (Ecuadoran),Concluded,Power generation facilities
11,"Archer Daniels Midland Company (U.S.), Tate & Lyle Ingredients Americas, Inc. (U.S.)","September 29, 2004",Other Industry,NAFTA (North American Free Trade Agreement),,"November 21, 2007 - The Tribunal renders its award, to which a separate opinion is attached.",United Mexican States (Mexican),Concluded,Soft drink sweetener production enterprise
12,"Talsud, S.A. (Argentine)","September 29, 2004",Transportation,BIT Mexico - Argentina 1996,,"June 18, 2010 - The Tribunal renders its award.",United Mexican States (Mexican),Concluded,Concession agreement to operate the National Registry of Motor Vehicles
13,"Gemplus Industrial, S.A. de C.V. (Mexican), Gemplus, S.A. (French), SLP, S.A. (French)","September 29, 2004",Transportation,BIT Mexico - France 1998,,"June 18, 2010 - The Tribunal renders its award.",United Mexican States (Mexican),Concluded,Concession agreement to operate the National Registry of Motor Vehicles
14,"Mobil Argentina S.A. (Argentine), Mobil Exploration and Development Inc. Suc. Argentina (U.S.)","August 5, 2004","Oil, Gas & Mining",BIT United States of America - Argentina 1991,"May 9, 2018 - Each party files a statement of costs.","February 25, 2016 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Antonio Remiro Brotóns.",Argentine Republic (Argentine),Concluded,Gas production concessions
15,Wintershall Aktiengesellschaft (German),"July 15, 2004","Oil, Gas & Mining",BIT Germany - Argentina 1991,,"December 8, 2008 - The Tribunal renders its award.",Argentine Republic (Argentine),Concluded,Gas and oil production
16,"Dredging International N.V. (Belgian), Jan de Nul N.V. (Belgian)","May 27, 2004",Transportation,"BIT Egypt, Arab Republic of - Belgium-Luxembourg 1977, BIT Egypt, Arab Republic of - Belgium-Luxembourg 1999",,"November 6, 2008 - The Tribunal renders its award.",Arab Republic of Egypt (Egyptian),Concluded,Dredging project
17,ABCI Investments Limited (Dutch),"April 6, 2004",Finance,BIT Netherlands - Tunisia 1998 - Investment Law - Tunisia (1969),"June 1, 2018 - The Respondent files a counter-memorial on quantum.",,Republic of Tunisia (Tunisian),Pending,Acquisition of shares
